date,revenue,quantity,category
2025-07-23,532.0,2,No 1 Grafton Inn
2025-07-23,238.5,1,No 1 Grafton Inn
2025-07-24,224.1,1,No 1 Grafton Inn
2025-07-24,224.1,1,No 1 Grafton Inn
2025-07-25,924.0,3,No 1 Grafton Inn
2025-07-25,261.0,1,No 1 Grafton Inn
2025-07-26,335.0,1,No 1 Grafton Inn
2025-07-26,283.5,1,No 1 Grafton Inn
2025-07-27,748.44,3,No 1 Grafton Inn
2025-07-27,211.5,1,No 1 Grafton Inn
2025-07-27,739.2,3,No 1 Grafton Inn
2025-07-28,718.2,2,No 1 Grafton Inn
2025-07-28,598.5,2,No 1 Grafton Inn
2025-07-28,1061.28,4,No 1 Grafton Inn
2025-07-29,1016.4,3,No 1 Grafton Inn
2025-07-30,831.6,3,No 1 Grafton Inn
2025-07-30,649.8,2,No 1 Grafton Inn
2025-08-01,301.5,1,No 1 Grafton Inn
2025-08-01,1337.6,4,No 1 Grafton Inn
2025-08-01,1232.0,4,No 1 Grafton Inn
2025-08-01,831.6,3,No 1 Grafton Inn
2025-08-01,252.0,1,No 1 Grafton Inn
2025-08-02,2231.25,7,No 1 Grafton Inn
2025-08-02,315.0,1,No 1 Grafton Inn
2025-08-02,252.0,1,No 1 Grafton Inn
2025-08-03,700.0,2,No 1 Grafton Inn
2025-08-03,320.0,1,No 1 Grafton Inn
2025-08-04,665.28,3,No 1 Grafton Inn
2025-08-04,538.66,2,No 1 Grafton Inn
2025-08-05,554.4,2,No 1 Grafton Inn
2025-08-05,342.0,1,No 1 Grafton Inn
2025-08-05,598.5,2,No 1 Grafton Inn
2025-08-06,902.88,3,No 1 Grafton Inn
2025-08-06,997.92,4,No 1 Grafton Inn
2025-08-07,1232.0,4,No 1 Grafton Inn
2025-08-07,504.0,2,No 1 Grafton Inn
2025-08-07,315.0,1,No 1 Grafton Inn
2025-08-09,649.8,2,No 1 Grafton Inn
2025-08-09,1061.28,4,No 1 Grafton Inn
2025-08-09,731.5,2,No 1 Grafton Inn
2025-08-09,252.0,1,No 1 Grafton Inn
2025-08-10,252.0,1,No 1 Grafton Inn
2025-08-10,283.5,1,No 1 Grafton Inn
2025-08-11,342.0,1,No 1 Grafton Inn
2025-08-11,280.0,1,No 1 Grafton Inn
2025-08-11,315.0,1,No 1 Grafton Inn
2025-08-11,315.0,1,No 1 Grafton Inn
2025-08-11,831.6,3,No 1 Grafton Inn
2025-08-12,1337.6,4,No 1 Grafton Inn
2025-08-12,1263.5,4,No 1 Grafton Inn
2025-08-12,252.0,1,No 1 Grafton Inn
2025-08-13,301.5,1,No 1 Grafton Inn
2025-08-13,665.28,3,No 1 Grafton Inn
2025-08-14,1061.28,4,No 1 Grafton Inn
2025-08-14,598.5,2,No 1 Grafton Inn
2025-08-14,748.44,3,No 1 Grafton Inn
2025-08-14,315.0,1,No 1 Grafton Inn
2025-08-15,1232.0,4,No 1 Grafton Inn
2025-08-16,315.0,1,No 1 Grafton Inn
2025-08-16,420.0,1,No 1 Grafton Inn
2025-08-16,252.0,1,No 1 Grafton Inn
2025-08-17,665.0,2,No 1 Grafton Inn
2025-08-17,985.6,4,No 1 Grafton Inn
2025-08-17,342.0,1,No 1 Grafton Inn
2025-08-18,748.44,3,No 1 Grafton Inn
2025-08-18,238.5,1,No 1 Grafton Inn
2025-08-18,342.0,1,No 1 Grafton Inn
2025-08-19,238.5,1,No 1 Grafton Inn
2025-08-19,636.5,2,No 1 Grafton Inn
2025-08-19,238.5,1,No 1 Grafton Inn
2025-08-19,342.0,1,No 1 Grafton Inn
2025-08-20,924.0,3,No 1 Grafton Inn
2025-08-20,831.6,3,No 1 Grafton Inn
2025-08-21,538.66,2,No 1 Grafton Inn
2025-08-21,722.0,2,No 1 Grafton Inn
2025-08-21,884.4,3,No 1 Grafton Inn
2025-08-21,252.0,1,No 1 Grafton Inn
2025-08-22,665.28,3,No 1 Grafton Inn
2025-08-22,342.0,1,No 1 Grafton Inn
2025-08-23,1108.8,4,No 1 Grafton Inn
2025-08-23,1663.2,6,No 1 Grafton Inn
2025-08-23,342.0,1,No 1 Grafton Inn
2025-08-24,572.86,2,No 1 Grafton Inn
2025-08-24,528.39,2,No 1 Grafton Inn
2025-08-25,280.0,1,No 1 Grafton Inn
2025-08-26,238.5,1,No 1 Grafton Inn
2025-08-26,649.8,2,No 1 Grafton Inn
2025-08-26,252.0,1,No 1 Grafton Inn
2025-08-27,280.0,1,No 1 Grafton Inn
2025-08-27,538.66,2,No 1 Grafton Inn
2025-08-28,268.2,1,No 1 Grafton Inn
2025-08-28,1029.6,3,No 1 Grafton Inn
2025-08-28,260.0,1,No 1 Grafton Inn
2025-08-29,301.5,1,No 1 Grafton Inn
2025-08-29,649.8,2,No 1 Grafton Inn
2025-08-30,280.0,1,No 1 Grafton Inn
